coffee,shorthand_name,metric,value,units
southern_weather,sw,onxy_price,8.47,usd
southern_weather,sw,sale_10oz,16,usd
southern_weather,sw,origin_variety,colombia_ethiopia,na
southern_weather,sw,green_cost,3.3,usd
southern_weather,sw,transportation,0.32,usd
southern_weather,sw,production,4.85,usd
southern_weather,sw,c_market,0.97,usd
southern_weather,sw,transparency_grade,b,na
southern_weather,sw,lot_size,infinity,na
southern_weather,sw,cup_score,86.5,na
southern_weather,sw,fair_trade_min,1.6,usd
southern_weather,sw,process,washed,na
southern_weather,sw,elevation,1850,meters
geometry,g,onxy_price,8.54,usd
geometry,g,sale_10oz,17,usd
geometry,g,origin_variety,colombia_ethiopia,na
geometry,g,green_cost,3.45,usd
geometry,g,transportation,0.24,usd
geometry,g,production,4.85,usd
geometry,g,c_market,0.99,usd
geometry,g,transparency_grade,b,na
geometry,g,lot_size,infinity,na
geometry,g,cup_score,87,na
geometry,g,fair_trade_min,1.6,usd
geometry,g,process,washed,na
geometry,g,elevation,2025,meters
monarch,m,onxy_price,8.88,usd
monarch,m,sale_10oz,16.5,usd
monarch,m,origin_variety,etheopia_columbia,na
monarch,m,green_cost,3.9,usd
monarch,m,transportation,0.13,usd
monarch,m,production,4.85,usd
monarch,m,c_market,0.94,usd
monarch,m,transparency_grade,a-,na
monarch,m,lot_size,infinity,na
monarch,m,cup_score,86.5,na
monarch,m,fair_trade_min,1.6,usd
monarch,m,process,natural_washed,na
monarch,m,elevation,1800,meters
power_nap,pn,onxy_price,8.43,usd
power_nap,pn,sale_10oz,20,usd
power_nap,pn,origin_variety,etheopia_columbia,na
power_nap,pn,green_cost,3.06,usd
power_nap,pn,transportation,0.52,usd
power_nap,pn,production,4.85,usd
power_nap,pn,c_market,1.16,usd
power_nap,pn,transparency_grade,c,na
power_nap,pn,lot_size,infinity,na
power_nap,pn,cup_score,86,na
power_nap,pn,fair_trade_min,1.6,usd
power_nap,pn,process,washed_raised_bed_dried,na
power_nap,pn,elevation,1975,meters
tropical_weather,tw,onxy_price,9.01,usd
tropical_weather,tw,sale_10oz,20,usd
tropical_weather,tw,origin_variety,heirloom,na
tropical_weather,tw,green_cost,3.96,usd
tropical_weather,tw,transportation,0.2,usd
tropical_weather,tw,production,4.85,usd
tropical_weather,tw,c_market,1.45,usd
tropical_weather,tw,transparency_grade,b,na
tropical_weather,tw,lot_size,infinity,na
tropical_weather,tw,cup_score,86,na
