section,cup,before_green_mass,before_rooibos_mass,soil,leaves,after_green_mass,after_rooibos_mass,green_bag,rooibos_bag
Monday,1,2.177,2.147,C,Y,,1.6716,0.2553,
Monday,2,2.175,1.783,C,N,,1.667,0.135,
Monday,3,2.117,1.992,C,Y,,1.827,0.135,
Monday,4,2.18,1.982,C,N,,2.077,0.196,
Monday,5,2.261,2.042,C,Y,,1.588,0.191,
Tue am,1,2.3211,2.048,C,Y,1.687,2.311,0.241,0.2528
Tue am,2,2.374,1.822,C,N,1.632,2.035,0.2,0.315
Tue am,3,2.2922,2.0525,C,Y,1.3922,1.911,0.196,0.318
Tue am,4,2.1359,2.0299,C,N,1.659,2.251,0.207,0.3848
Tue am,5,2.1928,1.9721,C,Y,1.424,1.897,0.184,0.19
Tue pm,1,2.143,1.761,C,Y,1.247,1.667,0.217,0.219
Tue pm,2,2.098,2.08,C,N,,2.37,,0.345
Tue pm,3,2.062,2.159,C,Y,1.167,2.393,0.225,0.211
Tue pm,4,2.209,2.012,C,N,1.066,1.595,0.213,0.232
Tue pm,5,1.969,2.092,C,Y,1.604,1.908,0.2,0.192
Thurs,1,2.0562,1.9804,C,Y,1.4925,1.9231,0.2318,0.513
Thurs,2,2.042,1.761,C,N,1.49,1.616,0.24,0.162
Thurs,3,2.002,2.159,C,Y,1.878,1.668,0.201,0.188
Thurs,4,2.0451,2.0342,C,N,1.91,1.214,0.222,0.187
Thurs,5,2.171,2.045,C,N,1.385,2.155,0.229,0.285
Friday,1,1.986,1.976,C,N,1.449,0.9282,0.199,0.2115
Friday,2,1.98,1.943,C,N,1.086,1.75,0.203,0.215
Friday,3,1.99,1.949,C,N,1.1625,1.679,0.2848,0.308
Friday,6,2.121,1.998,C,Y,1.634,1.73,0.318,0.741
Friday,7,2.129,1.8409,C,Y,1.09,1.746,0.349,0.423
Monday,6,2.283,1.959,I,N,,1.0665,0.201,
Monday,7,2.271,1.964,I,Y,,1.126,0.175,
Monday,8,1.99,1.796,I,N,,1.41,0.197,
Monday,9,2.3,2.016,I,Y,,1.7938,0.2213,
Monday,10,2.102,1.982,I,N,,1.049,0.198,
Tue am,6,2.1772,1.9803,I,N,1.481,2.141,0.2747,0.378
Tue am,7,2.0203,2.0379,I,Y,2.253,2.29,0.218,0.21
Tue am,8,2.3031,1.9907,I,N,1.49,3.72,0.241,0.281
Tue am,9,2.0143,2.0732,I,Y,1.369,2.079,0.298,0.294
Tue am,10,2.041566667,2.044741667,I,Y,1.585711111,2.690694444,0.267413889,0.278177778
Tue pm,6,2.175,2.068,I,N,2.169,2.473,0.195,0.235
Tue pm,7,2.107,2.007,I,Y,1.456,1.993,0.199,0.195
Tue pm,8,2.279,2.031,I,N,1.266,1.94,0.198,0.12
Tue pm,9,2.086,2.022,I,Y,1.366,2.776,0.319,0.504
Tue pm,10,2.195,2.04,I,N,1.098,1.637,0.209,0.197
Thurs,6,2.055,2.086,I,N,1.022,3.47,0.194,1.871
Thurs,7,2.2862,2.0305,I,Y,1.402,1.9669,0.265,0.4904
Thurs,8,2.082,1.906,I,N,1.1426,1.9693,0.1969,0.2673
Thurs,9,2.1354,2.0338,I,Y,1.592,1.9184,0.1918,0.1826
Thurs,10,1.983,1.931,I,Y,1.574,2.7169,0.193,0.1859
Friday,4,2.257,1.943,I,N,1.2372,1.5065,0.3112,0.1941
Friday,5,2.06,1.9779,I,N,0.928,1.596,0.172,0.19
Friday,8,2.131,1.83,I,Y,1.734,1.42,0.224,0.22
Friday,9,2.112,2.022,I,Y,0.9417,1.5284,0.1826,0.183
Friday,10,2.2079,2.016,I,Y,1.01,1.6738,0.202,0.3045
