week,potID,treat,n_plants,tallest_plant_cm,above_wet_bio_g,above_dry_bio_g,final_root_bio_g,Amount cut off,I hate math...cut at this height on the plant
1,3,100,9,16,4.308,0.545,NA,16,
1,14,100,14,22,9.439,1.044,NA,22,
1,16,100,14,21,9.95,1.046,NA,21,
1,17,100,12,15,4.75,0.518,NA,15,
1,18,100,18,17,6.985,0.819,NA,17,
2,3,100,,13,0.91,0.112,,13,
2,14,100,,10,2.41,0.203,,10,
2,16,100,,10,1.55,0.137,,10,
2,17,100,,10,1.09,0.087,,10,
2,18,100,,11.5,2.08,0.218,,11.5,
3,3,100,0,0,0,0,,,0
3,14,100,5,11,0.41,0.036,,11,0
3,16,100,1,2,0.002,0.01,,,2
3,17,100,5,10,0.105,0.011,,,10
3,18,100,4,13,1.087,0.124,,13,0
4,3,100,,0,0,0,,0,0
4,14,100,0,0,0,0,,0,0
4,16,100,0,0,0,0,,0,0
4,17,100,1,5,0.024,0,,5,0
4,18,100,4,9.5,0.152,0.034,,9.5,0
5,3,100,0,,0,0,,,
5,14,100,0,,0,0,,,
5,16,100,0,,0,0,,,
5,17,100,0,,0,0,,,
5,18,100,2,,0,0,,,
1,1,75,15,23,5.206,0.667,NA,17.25,
1,11,75,16,22,5.38,0.65,NA,16.5,
1,15,75,21,19,5.6,0.756,NA,14.25,
1,19,75,10,22.5,2.673,0.386,NA,16.875,
1,22,75,8,21,4.023,0.505,NA,15.75,
2,1,75,,23,4.11,0.7,,17.25,
2,11,75,,18.5,3.37,0.51,,13.875,
2,15,75,,20.5,3.81,0.585,,15.375,
2,19,75,,23,3.15,0.713,,17.25,
2,22,75,,17,3.08,0.493,,12.75,
3,1,75,,28,5.387,0.78,,21,7
3,11,75,,23,3.44,0.537,,17.25,5.75
3,15,75,,19.5,3.44,0.539,,14.625,4.875
3,19,75,,28,5.474,0.739,,21,7
3,22,75,5,19,4.261,0.649,,14.25,4.75
4,1,75,,16,4.105,0.74,,12,4
4,11,75,,16,1.851,0.339,,12,4
4,15,75,,13.5,2.091,0.379,,10.125,3.375
4,19,75,,17,5.243,0.873,,12.75,4.25
4,22,75,,12,3.989,0,,9,3
5,1,75,14,,7.798,1.433,,,
5,11,75,16,,4.2,0.88,,,
5,15,75,19,,3.079,0.768,,,
5,19,75,13,,5.28,1.14,,,
5,22,75,10,,1.801,0.381,,,
1,2,50,16,19,1.071,0.146,NA,9.5,
1,6,50,15,22,1.12,0.179,NA,11,
1,7,50,13,26,1.889,0.293,NA,13,
1,12,50,14,20,1.087,0.177,NA,10,
1,21,50,11,22,0.884,0.111,NA,11,
2,2,50,,24,2.1,0.3,,12,
2,6,50,,24,3.39,0.593,,12,
2,7,50,,30,2.16,0.343,,15,
