date,ppt_in,tmin_f,tmean_f,tmax_f,tdmean_f,vdpmin_hpa,vdpmax_hpa
1/1/20,0,23.5,28.8,34.1,25,0.2,1.94
1/2/20,0,23.6,34.8,45.9,28.7,0.28,4.6
1/3/20,0,33.9,41.4,48.9,37.3,0.04,3.55
1/4/20,0.04,31.3,34.5,37.7,31.9,0.07,1.38
1/5/20,0,22.6,28,33.3,26.1,0.09,1.29
1/6/20,0,24.7,35.9,47.1,27.6,0.31,4.73
1/7/20,0,22.8,31.9,41,23.3,0.33,4.71
1/8/20,0,19,30.6,42.3,23.5,0.41,3.86
1/9/20,0,17.5,27.4,37.2,13.9,1.04,3.1
1/10/20,0.03,35.2,43.9,52.5,40.5,0.07,5.42
1/11/20,2.4,35.3,44.9,54.5,44.9,0.03,1.13
1/12/20,0.11,20.2,28.6,37,28,0.02,0.71
1/13/20,0,22.5,27.6,32.6,27.2,0.06,0.87
1/14/20,0,31,33.8,36.7,31.2,0.08,1.42
1/15/20,0,29.3,37.9,46.6,34.7,0.02,3.3
1/16/20,0,14.1,27.8,41.6,27.8,0,0.95
1/17/20,0,13.1,19.6,26.2,11.4,0.44,2
1/18/20,0.79,18.8,27.3,35.7,24.2,0.08,1.69
1/19/20,0,2.4,19.8,37.3,13.6,0.07,1.01
1/20/20,0,2.5,8.1,13.6,4.1,0.35,0.77
1/21/20,0.03,9.5,16.3,23.2,12.9,0.21,0.97
1/22/20,0,10.3,21,31.8,18.4,0.22,2.45
1/23/20,0.03,22.8,28.4,33.9,24,0.23,2.42
1/24/20,0.31,28.9,31.6,34.3,31.6,0.03,0.46
1/25/20,0.16,31.7,34.2,36.8,33.4,0.02,0.43
1/26/20,0,27,29.9,32.8,29.4,0.12,0.83
1/27/20,0,24.7,30.9,37,26.9,0.06,1.82
1/28/20,0,25.9,28.4,31,27.5,0.06,0.74
1/29/20,0,27.6,29.6,31.6,26.3,0.15,1.2
1/30/20,0,28.3,30.1,31.9,26.8,0.25,1.3
1/31/20,0,28.6,32,35.4,28.4,0.16,2.11
2/1/20,0.07,28.5,33.2,37.9,32,0,1.55
2/2/20,0,33.1,35.3,37.5,31.8,0.12,1.58
2/3/20,0,30.8,45,59.2,35,0.1,8.62
2/4/20,0,32.2,44.1,56,37.2,0.3,6.05
2/5/20,0,28.7,32.8,36.9,25.6,0.85,2.25
2/6/20,0.25,24.7,28.3,31.8,23.1,0.2,2.19
2/7/20,0,20.1,25.1,30.1,21.1,0.28,1.65
2/8/20,0.05,20.9,28.6,36.2,22,0.16,3.95
2/9/20,0,21.1,27.5,33.8,23.6,0.19,1.87
2/10/20,0.12,25,30.7,36.3,30.7,0.01,1.19
2/11/20,0,25.4,28.8,32.3,26.2,0.19,1.12
2/12/20,0,23.9,31.6,39.2,24.2,0.19,3.63
2/13/20,0.33,22.2,28.3,34.4,28.3,0,1.29
2/14/20,0,-6.5,8.6,23.6,2.4,0.16,0.86
2/15/20,0,-5.9,7.5,20.9,0.1,0.23,1.18
2/16/20,0,13.6,24.2,34.7,21.1,0.06,2.27
2/17/20,0,15.7,27.6,39.4,25.9,0.07,3.13
2/18/20,0.35,31.3,35.5,39.6,34.7,0.05,1.59
2/19/20,0,19.4,28.3,37.3,23.6,0.43,2.82
2/20/20,0,14.3,23,31.7,13.1,0.69,2.93
2/21/20,0,10.4,17.8,25.3,6.1,0.44,2.65
2/22/20,0,12.7,24.5,36.4,14.8,0.54,4.44
2/23/20,0,24.2,36.9,49.6,23.8,1.23,7.51
2/24/20,0,31.8,44.7,57.5,33.4,0.26,9.02
2/25/20,0.53,34.1,38,41.8,36.2,0.15,1.12
2/26/20,0.3,27.4,31.8,36.2,31.4,0,0.74
2/27/20,0,18.7,25.1,31.5,20.4,0.14,2.15
