sample,order,family,abundance
rep,coleoptera,elmidae,24
rep,trichoptera,hydropsychidae,38
rep,odonata,lestidae,1
rep,ephemeroptera,ephemerellidae,1
rep,ephemeroptera,tricorthidae,8
rep,ephemeroptera,baetidae,9
rep,ephemeroptera,siphlonuridae,4
rep,ephemeroptera,heptageniidae,19
rep,ephemeroptera,baetiscidae,2
rep,diptera,chironimidae,20
rep,diptera,simuliidae,3
ns4,diptera,chironimidae,2
ns4,ephemeroptera,baetidae,1
ss4,ephemeroptera,baetidae,13
ss4,ephemeroptera,heptageniidae,1
ss4,ephemeroptera,baetiscidae,1
ss3,ephemeroptera,baetidae,23
ss3,ephemeroptera,siphlonuridae,1
ss3,trichoptera,hydropsychidae,1
ss3,u1,u1,3
ns2,ephemeroptera,baetidae,39
ns2,ephemeroptera,heptageniidae,5
ns2,ephemeroptera,baetiscidae,1
ns2,u1,u1,18
ns2,trichoptera,hydropsychidae,1
ss1,ephemeroptera,baetidae,86
ss1,u1,u1,6
ss1,diptera,chironimidae,6
ns1,ephemeroptera,baetidae,47
ns1,u1,u1,12
ns3,ephemeroptera,baetidae,12
ns3,u1,u1,6
ns3,ephemeroptera,baetiscidae,6
ss2,ephemeroptera,baetidae,73
ss2,u1,u1,6
ss2,trichoptera,hydropsychidae,6
