year,season,plot,block,treatment,Sample,ph,ph_b,p_ppm,k_ppm,om_percent_loi,ca_ppm,mg_ppm,cec_meq_100g,base_ca_percent,base_mg_percent,base_k_percent,base_h_percent,base_na_percent,s_ppm,zn_ppm,b_ppm,fe_ppm,mn_ppm,cu_ppm,na_ppm,no3n_ppm,nh4n_ppm
2021,fall,9,south,pc_n,1,5.9,6.7,44.9,103.5,2.66,"1,548",70.9,11.1,69.7,5.3,2.4,22,0.5,7.6,2,0.7,260.9,32.8,1.8,13.9,11.1,3
2021,fall,9,south,pc_n,2,6.3,7,19.4,113.5,2.67,"1,947",123,12.92,75.3,7.9,2.2,14,0.5,5.1,1.7,0.6,191.1,52.8,2,14.7,9.6,3.5
2021,fall,9,south,pc_n,3,6.2,7,48.7,132.7,3.15,"1,967",81.5,12.99,75.7,5.2,2.6,16,0.5,8.4,1.9,0.7,339.9,11.4,1.9,13.3,8.6,3.1
2021,fall,8,south,pc  ,1,6.8,7,15.5,106.9,2.48,"1,981",128.4,11.77,84.1,9.1,2.3,4,0.5,6.2,1.4,0.5,142.5,28.5,1.7,12.3,8.3,3.3
2021,fall,8,south,pc  ,2,6.2,7,37.5,89.8,2.71,"1,549",79,10.34,74.9,6.4,2.2,16,0.5,8.5,1.2,0.6,323.8,9.7,1.5,11.7,7.4,3
2021,fall,8,south,pc  ,3,6.5,7,13.9,127.4,3.42,"2,386",234.7,15.85,75.2,12.3,2.1,10,0.3,6.4,1.2,0.6,148.8,39.5,1.9,12.8,7.9,3
2021,fall,7,south,ref,1,5.7,6.3,42.6,133.6,3.54,"1,853",82.9,13.99,66.2,4.9,2.5,26,0.4,8.1,1.8,0.6,352.8,11.7,1.8,12.3,14.8,2.9
2021,fall,7,south,ref,2,6.1,6.9,31.4,115.2,2.77,"1,695",79.7,11.58,73.2,5.7,2.5,18,0.5,5.9,1.6,0.6,231.5,24.6,1.7,13.1,13.2,2.6
2021,fall,7,south,ref,3,5.5,6.2,47,109.1,3.44,"1,520",80.6,12.31,61.7,5.5,2.3,30,0.5,7.7,1.8,0.7,363.5,7.4,1.6,14.9,8.6,2.5
2021,fall,6,north,ref,1,6.9,7,125.6,144.9,5.94,"3,790",424.9,23.4,81,15.1,1.6,2,0.3,8.3,10.7,1,177.8,36.9,3.4,15,17.6,3.3
2021,fall,6,north,ref,2,6.7,7,117.2,158.2,6.36,"3,980",483,25.96,76.6,15.5,1.6,6,0.3,7.6,12.9,1,165.9,30.3,3.4,17.8,14.8,3.9
2021,fall,6,north,ref,3,7,7,54.5,105.2,5.15,"3,726",439.8,22.64,82.3,16.2,1.2,0,0.3,6.9,5.1,0.9,115.7,26.6,2.6,18,13,3.6
2021,fall,5,north,pc_n,1,6.9,7,72.4,105.1,6.31,"3,908",457.8,24.18,80.8,15.8,1.1,2,0.3,6.6,8.5,0.9,139.6,23.5,2.8,16.7,9.1,2.9
2021,fall,5,north,pc_n,2,7.2,7,45.5,90.4,5.01,"3,427",408.2,20.84,82.2,16.3,1.1,0,0.3,8,5.7,0.9,109.4,51.2,2.9,15,7.8,3.1
2021,fall,5,north,pc_n,3,6.9,7,50.2,125.6,4.78,"3,057",380.3,19.27,79.3,16.4,1.7,2,0.5,4.9,5.9,0.7,118.8,52,2.1,23.9,7.2,3.2
2021,fall,4,north,pc,1,6.9,7,59,128.1,5.35,"3,855",487.1,24.22,79.6,16.8,1.4,2,0.3,4.6,8,0.9,124.1,29.6,3.3,16.4,11.7,3.6
2021,fall,4,north,pc,2,7,7,63.9,110.1,5.42,"3,510",403.8,21.27,82.5,15.8,1.3,0,0.3,6.6,7.1,0.9,113,39.8,2.6,16.6,9.7,3.5
2021,fall,4,north,pc,3,6.8,7,43.3,101.5,5.7,"3,675",453.3,23.43,78.4,16.1,1.1,4,0.3,6.7,7.1,1,119.4,29.8,3.3,17.6,10.8,3.8
2021,fall,3,north,pc_n,1,7.1,7,47.9,102.7,4.98,"3,851",475.2,23.54,81.8,16.8,1.1,0,0.3,5.9,6.1,0.9,109.8,39,3.1,15.1,12,3.3
2021,fall,3,north,pc_n,2,7,7,46.7,107.9,5.46,"4,286",539.5,26.27,81.6,17.1,1.1,0,0.3,5.9,6.4,1,132.4,41.7,3.3,15.9,14.2,3.9
2021,fall,3,north,pc_n,3,7.1,7,60.5,98.1,5.08,"4,246",562.7,26.24,80.9,17.9,1,0,0.3,7.4,7.2,1,129.7,39.7,2.9,15.7,9.9,4.4
2021,fall,2,north,ref,1,6.6,7,53.5,123.6,5.18,"3,579",378.5,23.31,76.8,13.5,1.4,8,0.3,6.8,5.2,0.8,142.8,25.6,2.2,17.2,11.8,3.8
2021,fall,2,north,ref,2,6.7,7,91,159.6,5.33,"3,521",478.5,23.5,74.9,17,1.7,6,0.4,8.9,8,0.9,139.4,21.4,2.6,19.8,14.3,3.4
2021,fall,2,north,ref,3,6.8,7,31.3,119.2,4.86,"3,446",445.1,22.21,77.6,16.7,1.4,4,0.3,5.2,4,0.9,98.7,34.6,2.7,16.7,17.8,3.3
2021,fall,1,north,pc,1,6.9,7,33.3,111.3,5.18,"3,055",370.2,19.1,80,16.1,1.5,2,0.4,5.7,3.8,0.8,96.3,35,2.2,17.2,16.1,4
2021,fall,1,north,pc,2,6.6,7,51.8,99.4,5.48,"3,694",433,24.35,75.8,14.8,1.1,8,0.3,6.4,7.5,1,108.9,30.4,3.2,16.7,23.6,3.9
2021,fall,1,north,pc,3,6.6,7,54.1,112.4,5.71,"3,899",560.6,26.65,73.2,17.5,1.1,8,0.2,8.2,9.8,1,130.2,36,3.3,14,10.5,3.2
2019,fall,1,north,pc,1,6.9,7,83.3,190,6.85,"5,020",639.4,31.55,79.57,16.89,1.54,2,,26.7,20.5,1.3,157.4,42.9,4.1,,16,5
2019,fall,1,north,pc,2,6.9,7,97.9,183.4,6.21,"4,198",510.2,26.23,80,16.21,1.79,2,,22.5,18.1,1,153.7,37.3,3.7,,10.4,2.7
2019,fall,1,north,pc,3,6.8,7,33.6,224.4,5.38,"3,514",379.2,22.19,79.17,14.24,2.59,4,,19.6,7.6,0.9,121.7,52.2,2.8,,11.8,3.1
2020,spring,1,north,pc,1,6.9,7,144.8,176.1,6.75,7947,1005.1,24.78,80.19,16.9,0.91,2,,,,,,,,,3.7,1.5
2020,spring,1,north,pc,2,7,7,201.2,185,5.78,6578,822.8,20.11,81.77,17.05,1.18,0,,,,,,,,,3.3,1.7
2020,spring,1,north,pc,3,6.8,7,67.6,164.8,4.52,5037,559.1,15.76,79.88,14.78,1.34,4,,,,,,,,,2.6,1.5
2020,fall,1,north,pc,1,6.8,7,55.1,115,5.49,"3,814",540.8,24.87,76.69,18.12,1.19,4,,26.9,12.3,0.7,145.4,55.5,3.9,,9.5,2.7
2020,fall,1,north,pc,2,7.1,7,43.7,122.7,4.74,"3,268",461.3,20.5,79.71,18.76,1.53,0,,23.3,7,0.6,100.8,62.1,3,,8,2.1
2020,fall,1,north,pc,3,6.6,7,25.3,108.6,5.58,"3,557",413.4,23.38,76.07,14.73,1.19,8,,24.7,3.4,0.6,100.4,31.9,3.5,,5.6,2.5
2021,spring,1,north,pc,1,6.8,7,58.6,97.3,5.64,3946,541.2,25.58,77.1,17.6,1,4,0.3,8.2,14.7,1.4,147.1,47.8,3.2,14.8,4.1,3.8
2021,spring,1,north,pc,2,7.1,7,40.4,98.2,3.96,3088,406.3,19.14,80.7,17.7,1.3,0,0.4,6.2,5.8,1,107.4,59.1,2.7,15.4,2.1,2.8
2021,spring,1,north,pc,3,6.7,7,37,105.8,5.39,3721,417,23.85,78,14.6,1.1,6,0.3,8.6,4.6,1.1,113,35.2,2.9,16.3,2,3.5
2019,fall,2,north,ref,1,6.9,7,48,215,6.03,"3,737",455,23.5,79.52,16.14,2.35,2,,19.6,7.9,0.9,136.7,39.6,2.6,,11.1,3.1
2019,fall,2,north,ref,2,6.8,7,88.3,270.2,6.12,"3,636",392.1,23.06,78.83,14.17,3,4,,19.1,10,0.8,169.6,35,2.5,,9.6,2.5
2019,fall,2,north,ref,3,6.7,7,97.5,298.8,6.63,"3,941",470.8,25.95,75.93,15.12,2.95,6,,22.3,11.1,0.9,174.1,24.6,3,,13.3,2.6
2020,spring,2,north,ref,1,6.7,7,164.2,279.5,5.73,6163,751.3,20.1,76.65,15.57,1.78,6,,,,,,,,,9.1,1.3
2020,spring,2,north,ref,2,6.7,7,102.4,165.2,4.85,5898,620.6,18.66,79.01,13.86,1.14,6,,,,,,,,,6.6,1.6
2020,spring,2,north,ref,3,7,7,97.6,211.8,5.29,6557,805.7,20.02,81.88,16.77,1.36,0,,,,,,,,,7.5,1.5
2020,fall,2,north,ref,1,6.6,7,55.6,128.5,6.06,"3,489",431.3,23.23,75.11,15.47,1.42,8,,24.8,8.7,0.6,110.1,21,3,,14.6,1.9
2020,fall,2,north,ref,2,6.8,7,60.1,114.4,6.13,"3,261",356.3,20.38,79.99,14.57,1.44,4,,22.9,8.3,0.5,140.7,34.5,2.5,,12,2.1
