"site","season","mean_mp","mean_fiber","mean_fratment","mean_microbead","se_mp","se_fiber","se_fratment","se_microbead"
"bray_down","spring",9.5,8,1.5,0,2.08166599946613,1.82574185835055,0.577350269189626,0
"bray_down","summer",10,7.5,2,0.5,0.816496580927726,1,0,0.577350269189626
"bray_tile","spring",11,8.75,2.25,0,3.16227766016838,3.30403793359983,0.957427107756338,0
"bray_tile","summer",9.25,7.25,1.5,0.5,3.77491721763537,3.30403793359983,0.577350269189626,0.577350269189626
"frog_down","spring",9,7.5,1.5,0,2.16024689946929,1.73205080756888,1.29099444873581,0
"frog_down","summer",8.25,6.5,1.5,0.25,0.5,0.577350269189626,0.577350269189626,0.5
"moga_inlet_tile","spring",10.5,9,1.25,0,1.29099444873581,2.16024689946929,0.957427107756338,0
"moga_inlet_tile","summer",8,6.75,1.25,0,0.816496580927726,0.5,0.957427107756338,0
"money_creek","spring",9.5,7.75,1.75,0,1.29099444873581,1.25830573921179,0.5,0
"money_creek","summer",8,6.5,1.25,0.25,1.82574185835055,1.91485421551268,0.5,0.5
"six_mile","spring",11.25,9.25,2,0,2.21735578260835,2.21735578260835,0.816496580927726,0
"six_mile","summer",6.5,5,1.25,0.25,1.29099444873581,1.4142135623731,0.957427107756338,0.5
"t1","spring",10,8.5,1.5,0,0.816496580927726,1,0.577350269189626,0
"t1","summer",9.75,7.75,2,0,1.89296944860009,0.5,1.4142135623731,0
"t2e","spring",9.5,8,1.5,0,2.64575131106459,3.36650164612069,1,0
"t2e","summer",7.5,6.75,0.75,0,1.29099444873581,0.957427107756338,0.5,0
"t2s","spring",10,8.5,1.5,0,1.4142135623731,1.29099444873581,0.577350269189626,0
"t2s","summer",7.25,5.75,1.5,0,1.70782512765993,1.5,0.577350269189626,0
